id,tieude,dientich,khuvuc
,"Giữ chỗ SIÊU DỰ ÁN THE SOL CITY, ngân hàng hỗ trợ lãi suất 0%/năm. – Liên hệ: 0901023198",90 m²,"Huyện Cần Giuộc, Long An"
,"Dự án HOT khu Cầu Giấy - Chỉ từ 38,5tr/m2",85 m²,"Quận Cầu Giấy, Hà Nội"
,Chính chủ bán gấp căn 2 ngủ 2 vc.tầng đẹp nhất chung cư Eurowindow,62 m²,"Thành phố Thanh Hóa, Thanh Hóa"
,"cần bán gấp nhà 5 tầng vạn phúc hà đông dt75m2,mt5m,đường 17m,hướng ĐN,giá rẻ",75 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà Xã Đàn Phạm Ngọc Thạch Nhỉn 3 Tỷ, Ở luôn, 40M2, 5 Tầng",40 m²,"Quận Đống Đa, Hà Nội"
,BÁN NHÀ NGUYỄN VĂN HUYÊN CẦU GIẤY 5.8 TỶ 40M 6 TẦNG KINH DOANH NHÀ MỚI Ở NGAY,40 m²,"Quận Cầu Giấy, Hà Nội"
,"Chính chủ bán nhà Phố Cầu Gỗ, Hoàn Kiếm, Dt 60m2, 7 tầng, Homestay. Giá: 15 tỷ. Lh 0383209859.",60 m²,"Quận Hoàn Kiếm, Hà Nội"
,"Kẹt tiền cần sang gấp lô đất Thổ Cư, SHR ngay gần ngã tư Hồ Tràm.",500 m²,"Huyện Xuyên Mộc, Bà Rịa Vũng Tàu"
,Bán Nhà Hẻm 457/ Lê Văn Thọ Gò Vấp 4x12m Chỉ 3 Tỷ 6,48 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Ô TÔ TRÁNH - NHÀ ĐẸP - KINH DOANH NGON - CHỦ CẦN BÁN GẤP.,38 m²,"Quận Thanh Xuân, Hà Nội"
,"Mở bán đợt 2 căn hộ cao cấp bên hồ LDG Sky – liền kề làng ĐHQG HCM, giá 28-31tr/m2",76 m²,"Thị xã Dĩ An, Bình Dương"
,"Bán nhà đường Hồ Tùng Mậu, thang máy, oto, Văn Phòng, DT 55M, 7 tầng, MT 4.3M, giá chào 7.95 tỷ 0332376229",55 m²,"Quận Cầu Giấy, Hà Nội"
,"Nhà đẹp q1 hot- hiếm- đẹp, 40 m2 , không lộ giới, 6 tỷ còn thương lượng",40 m²,"Quận 1, Hồ Chí Minh"
,BÁN NHÀ TRẦN CUNG CỔ NHUẾ BẮC TỪ LIÊM 48m 4.4 TỶ CẤP 4 TƯƠNG LAI MẶT PHỐ,48 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"BÁN NHÀ SIÊU ĐẸP TÂN BÌNH, 5 TẦNG, 6.1 TỶ",45 m²,"Quận Tân Bình, Hồ Chí Minh"
,"280 triệu có ngay căn hộ 50m2 sẵn nội thất cao cấp (như hình)_ gần chợ Xuân Thới Thượng, Hóc Môn.",50 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,Chỉ còn 6 lô đất nền biệt thự nghĩ dưỡng giá tốt - Siêu phẩm hiếm có tại Huế,355 m²,"Huyện Hương Thủy, Thừa Thiên Huế"
,Căn hộ 57m2 / 2PN (đã hoàn thiện)_250 triệu_ gần chợ BÀ ĐIỂM 0789 11 49 79,57 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,CĂN HỘ BÌNH TÂN - HÀNG HIẾM CHỈ CÒN 03 CĂN 820TR,35 m²,"Quận Bình Tân, Hồ Chí Minh"
,CĂN HỘ BÌNH TÂN - HÀNG HIẾM CHỈ CÒN 03 CĂN 820TR,35 m²,"Quận Bình Tân, Hồ Chí Minh"
,CĂN HỘ BÌNH TÂN - HÀNG HIẾM CHỈ CÒN 03 CĂN 820TR,35 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Nhà mới, do ngộp ngân hàng nên cần thanh lý gấp",60 m²,"Huyện Bình Chánh, Hồ Chí Minh"
,"Bán nhà  Trần Cao Văn - Phú Nhuận 3 tầng đang cho 10 triệu, nhỉnh 2 tỷ.",24 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,Bán gấp lô đất giá rẻ gần KCN Bình Chiểu quận Thủ Đức đường  xe tải,165 m²,"Quận Thủ Đức, Hồ Chí Minh"
,Bán gấp lô đất giá rẻ gần KCN Bình Chiểu quận Thủ Đức đường  xe tải,165 m²,"Quận Thủ Đức, Hồ Chí Minh"
,"CỰC HOT, Nhà 4 tầng 250m2 đẹp như tranh mặt tiền Đường số xe hơi đua, BHHB, Bình Tân",250 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Biệt thự view Hồ Tây, mặt phố Xuân Diệu, diện tích 400m2, mặt tiền 15m, giá 165 tỷ.",400 m²,"Quận Tây Hồ, Hà Nội"
,"Bán nhà HXH Hoàng Hoa Thám, PN, 45m2, 6.2 tỷ, TL",45 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Bán Đất, diện tích 140m2, mặt tiền 10m, mặt phố Lê Đức Thọ, giá 45 tỷ.",140 m²,"Quận Nam Từ Liêm, Hà Nội"
,Bán nhà đẹp mới xây hẻm xe hơi vô tận nhà gần Bình Long,51 m²,"Quận Bình Tân, Hồ Chí Minh"
,Bán nhà đẹp mới xây hẻm xe hơi vô tận nhà gần Bình Long,51 m²,"Quận Bình Tân, Hồ Chí Minh"
,Bán nhà đẹp mới xây hẻm xe hơi vô tận nhà gần Bình Long,51 m²,"Quận Bình Tân, Hồ Chí Minh"
,Kẹt vốn kinh doanh cần bán gấp lô đất ngay công dân sinh KCN lớn nhất đông nam bộ,250 m²,"Chơn Thành, Bình Phước"
,ĐẤT TRUNG TÂM HÀNH CHÍNH,100 m²,"Huyện Tân Uyên, Bình Dương"
,CHUNG CƯ HẠNG A THE MATRIX ONE MỄ TRÌ,KXĐ,"Quận Nam Từ Liêm, Hà Nội"
,Biệt Thự Chính Chủ Tại Trung Tâm Bãi Trường Phú Quốc Mặt Tiền Đường 68m,135 m²,"Huyện Phú Quốc, Kiên Giang"
,"Bán nhà Xã Đàn Đống Đa Nhỉn 4 Tỷ, Ở luôn, 40M2, 5 Tầng, 3.6MT",40 m²,"Quận Đống Đa, Hà Nội"
,Bán đất gần trung tâm tp bảo lộc lâm đồng,299 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,"Hiếm! Bán nhà mặt phố 8 tầng, lô góc, mặt tiền 6.5m, Thang máy, KD đỉnh, 12.99 tỷ  ",76 m²,"Quận Thanh Xuân, Hà Nội"
,"Nhà ngõ 132 Cầu Giấy, ngõ nông, ô tô, 30m2 3PN giá hơn 2 tỷ.",30 m²,"Quận Cầu Giấy, Hà Nội"
,Căn hộ 3 phòng ngủ RUBY PLUS - hơi thở hiện đại giữa lòng đô thị xứ Thanh,78 m²,"Thành phố Thanh Hóa, Thanh Hóa"
,"Nhà ngõ 175 Lạc Long Quân, Phân lô 45m2 ô tô Giá hơn 6 tỷ.",45 m²,"Quận Cầu Giấy, Hà Nội"
,Bán nhà MT bờ Sông KD tốt Ba Đình Q8 75m2 5x15 4 tầng 10 tỷ 0901348958,75 m²,"Quận 8, Hồ Chí Minh"
,"Nhà ngõ 267 Hoàng Hoa Thám, Lô góc, ô tô, 54m2 Giá hơn 6 tỷ.",54 m²,"Quận Ba Đình, Hà Nội"
,"NHÀ HXH NGANG 7,5M 135M2 BÙI ĐÌNH TÚY, BÌNH THẠNH. (CHỈ 100TR/M2)",135 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,*CƠ HỘI ĐỂ SỞ HỮU ĐẦU TƯ ĐẤT NỀN BÌNH TÂN ĐẤT TRUNG TÂM THÀNH PHỐ*,70 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Bán đất tại Khu phố 3, thị trấn bến Cầu, Huyện Bến Cầu, Tây Ninh",740 m²,"Huyện Bến Cầu, Tây Ninh"
,"Bán Nhà Chỉ 29 tỷ sở hữu 82m, 4T, Láng Hạ Đống Đa LH 0933967666.",82 m²,"Quận Đống Đa, Hà Nội"
,Bán nhà hẻm xe hơi quay đầu Dương Bá Trạc P1 Q8,59 m²,"Quận 8, Hồ Chí Minh"
,"Bán nhà Thái Hà Thái Thịnh Nhỉn 4 Tỷ, lô góc, 45M2, 4 Tầng, 3.6MT",45 m²,"Quận Đống Đa, Hà Nội"
,Chính Chủ nhượng lô đất THỔ CƯ  HỒ TRÀM    (500m2 Sổ Hồng Riêng),500 m²,"Huyện Xuyên Mộc, Bà Rịa Vũng Tàu"
,"Bán gấp nhà HXH Thiên Phước, P9. Xây BTCT 5 tầng 4x12m rất thoáng. Giá bán gấp 6.1 tỷ TL",48 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Chính chủ cần bán hoặc cho thuê căn hộ chung cư q12 - 117m2 sổ hồng chính chủ 3 PN , 2 VS",117 m²,"Quận 12, Hồ Chí Minh"
,Chính chủ cần bán lô đất đẹp giá tốt nhất tại khu đô thị Lê Hồng Phong 1 Nha Trang,100 m²,"Thành Phố Nha Trang, Khánh Hòa"
,bán nhanh đất xây biệt thự giá rẻ,310 m²,"Thành phố Long Xuyên, An Giang"
,"Bán nhà mới, hẻm xe hơi đường Trịnh Đình Trọng, quận Tân Phú 8.4 tỷ",60 m²,"Quận Tân Phú, Hồ Chí Minh"
,"CHÍNH CHỦ BÁN NHÀ PHÂN LÔ, Ô TÔ TRÁNH LẠC LONG QUÂN 38M2*MT 4M",38 m²,"Quận Cầu Giấy, Hà Nội"
," Gấp bán lô hố nai gần trường lê hồng phong 138m2,thổ cư chỉ 1 tỷ 950 thương lượng",138 m²,"Thành phố Biên Hòa, Đồng Nai"
,CHÍNH CHỦ BÁN NHÀ LÔ GÓC ĐƯỜNG CẦU GIẤY 37M2-4T. GIÁ 3.2 TỶ,37 m²,"Quận Cầu Giấy, Hà Nội"
,"SIÊU PHẨM HẺM XE HƠI, ĐÚC BTCT 4 TẦNG, KIẾN TRÚC HIỆN ĐẠI. ",23 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,Căn nhà đẹp ngõ rộng đường Thiên Lôi ,60 m²,"Quận Lê Chân, Hải Phòng"
,"HẦM XE TRONG HẺM, chứa hàng chục xe - Hồ bơi giải nhiệt mùa hè, bán gấp 17,5 tỷ.",85 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Căn hộ Sunshine Green Iconic nhìn sang Vinhomes Long Biên, nhỉnh 2 tỷ. Giảm đến 9% GTCH",79 m²,"Quận Long Biên, Hà Nội"
,,49 m²,"Quận 5, Hồ Chí Minh"
,"Ngộp thở bán gấp nhà HXH 4 tầng 104m2 Khánh Hội, Phường 4, Quận 4",104 m²,"Quận 4, Hồ Chí Minh"
,[Đợt cuối] 30 căn hộ ngoại giao- có sổ hồng- giá rẻ,72 m²,"Quận Liên Chiểu, Đà Nẵng"
,"BÁN NHÀ MẶT PHỐ TRẦN CUNG, CẦU GIẤY: 60M. GÍA: 7,5 TỶ. LH: 0944828386",60 m²,"Quận Cầu Giấy, Hà Nội"
,Hưởng trọn mọi tiện ích Nhật Bản tại dự án Wyndham Lynn Tiimes Thanh Thủy,75 m²,"Huyện Thanh Thủy, Phú Thọ"
,"Phân lô vip bao GIÁ TỐT NHẤT Ngụy Như Kon Tum, 45m2 MT 4.5m, ô tô tránh, VP, KD tốt giá chỉ 7.9 tỷ",45 m²,"Quận Thanh Xuân, Hà Nội"
,CẦN BÁN ĐẤT MẶT TIỀN ĐƯỜNG PHÙNG HƯNG TP BIÊN HÒA,100 m²,"Thành phố Biên Hòa, Đồng Nai"
,Bán đất giá rất mềm tại đường Sơn Thủy 3.,125 m²,"Quận Ngũ Hành Sơn, Đà Nẵng"
,"Bán nhà trung tâm,mới xây,nhà đep hẻm 2 mặt tiền Cô Giang P2, Q Phú Nhuận 38m2,3 tầng, 5,3 tỷ 0932158872",38 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Cần bán 140m tái định cư phú diễn tiện xây nhà nghỉ, khách sạn văn phòng 93tr/m",140 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Bán nhà đẹp, xây dựng kiến cố, q. Gò Vấp, hẻm xe hơi, 50m2 – 4.7 tỷ ",50 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Căn hộ liền kề Thủ Đức giá 1.2 tỷ tháng 3/2021 nhận nhà,57 m²,"Quận Thủ Đức, Hồ Chí Minh"
,"đường Lạc Long Quân, p.10, Quận TÂN BÌNH, DT 50m2, 2 tầng, hxh, Chỉ 4 tỷ.",50 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Nhà mới, cực đẹp, gara, kd 55m, MT4.2; 6T ngay Aeon LB 5,25tỷ",55 m²,"Quận Long Biên, Hà Nội"
,Chính thức ra mắt LUMIÈRE riverside (Masteri Parkland) An Phú-Thảo Điền Q2 ,53 m²,"Quận 2, Hồ Chí Minh"
,"DỰ ÁN MỚI NGAY KHU CÔNG NGHIỆP DẦU GIÂY (SHR, THỔ CƯ 100%)",100 m²,"Huyện Thống Nhất, Đồng Nai"
,"Bán 2,2Ha Đất vườn tại Tầm Xá, Đông Thanh, Lâm Hà, Lâm Đồng.",22000 m²,"Huyện Lâm Hà, Lâm Đồng"
,"Nhà mới 5 tầng x 39M, Lô góc 2 mặt thoáng, Ngõ thông, 4.15 tỷ LH 0917309284",39 m²,"Quận Đống Đa, Hà Nội"
,Bán nhà sát HXH Hồ Biểu Chách - Phú Nhuận 3 tầng nhỉnh 2 tỷ.,24 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"NHÀ ĐẸP PHỐ BỒ ĐỀ, NGÕ RÔNG, CÓ SÂN THOÁNG, Ở NGAY, 66M2, 4 TẦNG, NHỈNH 3 TỶ",66 m²,"Quận Long Biên, Hà Nội"
,"Nhà Đẹp Khu Hà Đông Sát Trường Học, Gần Bệnh Viện,Gần Chợ Nhỉnh 8 tỷ.0981826558",50 m²,"Quận Hà Đông, Hà Nội"
,"BAN ĐẤT DT 18.672M2 CÓ 2 MẶT TIỀN RỘNG TẠI HỒNG THÁI - BẮC BÌNH, ĐÃ CÓ SỔ ",18672 m²,"Huyện Bắc Bình, Bình Thuận"
,"Cần bán 155m mặt tiền đang lên nhựa giá rẻ 12 triệu/m tại Lộc quang, Lộc Phú, Lộc Ninh, Bình Phước.",10000 m²,"Huyện Lộc Ninh, Bình Phước"
,Bán nhà mặt tiền đường số 9 phường Linh Chiểu quận Thủ Đức đường ô tô 6m,68 m²,"Quận Thủ Đức, Hồ Chí Minh"
,"Bán gấp nhà đường số 6, Phường Linh Xuân,Thủ Đức,LH 0909428959.",84 m²,"Quận Thủ Đức, Hồ Chí Minh"
,Bán đất dân sổ riêng cầm tay ngay khu công nghiệp Minh Hưng giá 589tr,130 m²,"Chơn Thành, Bình Phước"
,"Cơ hội có 102 mua nhà mặt tiền Bình Tân chỉ với 160tr ký hợp đồng, cho vay 10 năm lãi suất thấp",32 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Nhà 2 tầng đẹp như Hoa Hậu, Tôn Đản, Phường 4, Quận 4, chỉ 3.8 tỷ",42 m²,"Quận 4, Hồ Chí Minh"
,"Bán 100m2 đất, vị trí đẹp phố Tứ Liên. ",100 m²,"Quận Tây Hồ, Hà Nội"
,"BÁN NHÀ MỚI TRUNG TÂM QUẬN 3, NGAY MẶT TIỀN ĐƯỜNG HOÀNG SA, HXH 4M, DT 45M2, CHỈ 8,3 TỶ",45 m²,"Quận 3, Hồ Chí Minh"
,Đất nền mặt tiền chợ diện tích 6x40 giá 750tr,240 m²,"Chơn Thành, Bình Phước"
,"Chính chủ bán căn hộ Vincom Dĩ an, 3PN-73m2, full Nội Thất-tặng 7 chỉ vàng ",73 m²,"Thị xã Dĩ An, Bình Dương"
,"Ở THÍCH!!! Bán nhà mới đẹp gần Bùng binh Lê Trọng Tấn – Tố Hữu, 5tầng x 40m2,2.92 tỷ. ",40 m²,"Quận Hà Đông, Hà Nội"
,Căn hộ MT Lê Văn Quới Bình Tân 177Tr ký HĐ Góp Không Lãi Suất,35 m²,"Quận Bình Tân, Hồ Chí Minh"
,suất ngoại giao cực hiếm 18tr/m Athena Pháp Vân,69 m²,"Quận Hoàng Mai, Hà Nội"
,"Bán gấp Nhà.. Mặt Tiền Kinh Doanh đường số 3 Linh Trung,Thủ Đức,LH 0909428959.",156 m²,"Quận Thủ Đức, Hồ Chí Minh"
,Bán đất dân xây trọ ngay khu công nghiệp minh hưng sổ riêng có sẵn,260 m²,"Chơn Thành, Bình Phước"
,"Bán nhà khu dân cư, đường nội bộ, đường vào kho A TT Nhà Bè",76 m²,"Huyện Nhà Bè, Hồ Chí Minh"
,Bán đất dân xây trọ ngay khu công nghiệp minh hưng sổ riêng có sẵn,260 m²,"Chơn Thành, Bình Phước"
,Chung cư Xuân Mai Tower Thanh Hóa,62 m²,"Thành phố Thanh Hóa, Thanh Hóa"
,"Nhà đẹp cực hiếm phố Khâm Thiên quận Đống Đa 62m2, 5 tầng giá 5.8 tỷ ",62 m²,"Quận Đống Đa, Hà Nội"
,"Hot, cần bán căn hộ 5 sao tại Mũi Né 1 tỷ 1 căn",40 m²,"Thành phố Phan Thiết, Bình Thuận"
,Với chỉ 350 triệu sở hữu ngay 91 m2 mặt tiền 32 m Liên Hệ 0372665572,91 m²,"Thành phố Biên Hòa, Đồng Nai"
,"Cần Bán Nhà Gấp- Sổ Đỏ Chính Chủ Tại Phú Mỹ , Mỹ Đình, Nam Từ Liêm",45 m²,"Quận Nam Từ Liêm, Hà Nội"
,NHÀ MỚI 50M 5 TẦNG 5.5 TỶ PHÚ ĐÔ LÊ QUANG ĐẠO GARA KINH DOANH SẦM UỐT,50 m²,"Quận Nam Từ Liêm, Hà Nội"
,"5.99 TỶ*52M*MẶT PHỐ QUANG TRUNG *VỈA HÈ 6M* NGAY NGÃ TƯ KINH DOANH KHỎI BÀN 
Mô tả:",52 m²,"Quận Hà Đông, Hà Nội"
,"bán gấp nhà 5 tầng vạn phúc hà đông dt75m2,mt5m,nhà hoàn thiện siêu đẹp ,giá rẻ",75 m²,"Quận Hà Đông, Hà Nội"
,Bán dãy trọ do chủ cao tuổi mà ở xa nên không quản lý được diện tích 6x80 giá 1ty3,500 m²,"Chơn Thành, Bình Phước"
,"Bán nhà mới, hẻm xe hơi đường Trịnh Đình Trọng, quận Tân Phú 8.4 tỷ",60 m²,"Quận Tân Phú, Hồ Chí Minh"
,"Bán nhà đẹp 76m2, 4 tầng, hẻm xe hơi tránh, đường Lê Văn Sỹ, Tân Bình, 15 tỷ",76 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Bán nhà đẹp 76m2, 4 tầng, hẻm xe hơi tránh, đường Lê Văn Sỹ, Tân Bình, 15.1 tỷ",76 m²,"Quận Tân Bình, Hồ Chí Minh"
,Bán nhà 5 tầng đường Hồng Lạc phường 11 Tân Bình 7.9 tỷ,60 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Nhà 7,5m x18m, xe hơi vao tận nhà cách Bùi Đình Túy 100m, Bình Thạnh.",135 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,Nhà chính chủ rẻ đẹp đón Tết 708/30 Hồng Bàng p1 q11,36 m²,"Quận 11, Hồ Chí Minh"
,"Cho con du học bán nhà Minh Khai 4 tầng, 3 ngủ giá nhỉnh 2 tỷ",23 m²,"Quận Hai Bà Trưng, Hà Nội"
,"Bán nhà HXH Huỳnh văn Bánh,5 Tầng, Chiều ngang 7m, Lh:0932903606",90 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Bán nhà 55m2 5x12m  HXT 8 tấn, Lạc Long quân, Tân Bình 6.5 Tỷ",55 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Cho con du học bán nhà Minh Khai 4 tầng, 3 ngủ giá nhỉnh 2 tỷ",23 m²,"Quận Hai Bà Trưng, Hà Nội"
,Khu nhà phố An Lộc quận 12 liền kề Gò Vấp 108 Hà Huy Giáp 1 trệt 3 lầu nhà mới xây,80 m²,"Quận 12, Hồ Chí Minh"
,"NHÀ HXH NGANG 7,5M 135M2 BÙI ĐÌNH TÚY, BÌNH THẠNH. (CHỈ 100TR/M2)",135 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,Nhà phố ngay vòng xoay An Phú ,66 m²,"Thị xã Thuận An, Bình Dương"
,20 Suất Nội Bộ bao gồm Shophouse và căn hộ từ chủ đầu tư,56 m²,"Thị xã Thuận An, Bình Dương"
,Nhượng lại lô đất trồng cây lâu năm có sổ sẵng ở Bình Thuận,6434 m²,"Huyện Bắc Bình, Bình Thuận"
,Bán nhà MT bờ Sông KD tốt Ba Đình Q8 75m2 5x15 4 tầng 10 tỷ 0901348958,75 m²,"Quận 8, Hồ Chí Minh"
,"Nhà (4*25m/NH:8m) 4 lầu, 12pn, hẻm xe tải đường Âu Cơ P14 Q11",104 m²,"Quận 11, Hồ Chí Minh"
,Bán Nhà Mặt Phố Vũ Tông Phan Kinh Doanh Lô Góc Vỉa Hè 218m2 Mặt Tiền 9.2m. Liên Hệ 0886897778,218 m²,"Quận Thanh Xuân, Hà Nội"
,Bán Nhà Mặt Phố Vũ Tông Phan Kinh Doanh Lô Góc Vỉa Hè 218m2 Mặt Tiền 9.2m. Liên Hệ 0886897778,218 m²,"Quận Thanh Xuân, Hà Nội"
,MẶT TIỀN KINH DOANH PHẠM THẾ HIỂN - 1 CĂN DUY NHẤT 31M2 CHỈ 2 TỶ 3,31 m²,"Quận 8, Hồ Chí Minh"
,Đất nền thổ cư TTHC CHƠN THÀNH,250 m²,"Chơn Thành, Bình Phước"
,KHU ĐÔ THỊ ÂN PHÚ TP BUÔN MA THUỘT GIÁ CHỈ TỪ 1.79 TỶ ĐỒNG,100 m²,"Buôn Ma Thuột, Đắk Lắk"
,"Bán nhà phố Phan Văn Trường, Cầu Giấy, Hà Nội: 40m, 5 tầng, MT: 5m. Giá: 7,95 tỷ. LH: 0944828386",40 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán nhà phố Phan Văn Trường, Cầu Giấy, Hà Nội: 40m, 5 tầng, MT: 5m. Giá: 7,95 tỷ. LH: 0944828386",40 m²,"Quận Cầu Giấy, Hà Nội"
,"Nhà mới đẹp, oto đỗ cửa, phố Phúc Lợi- LB, 34m, 5 tầng, mặt tiền 4.5, giá sập sàn, chỉ 2.15 tỷ",34 m²,"Quận Long Biên, Hà Nội"
,"Nhà đường Thống Nhất Gò Vấp 2 tấm xin xò 70m2 giá chỉ 4,1 tỷ.",70 m²,"Quận Gò Vấp, Hồ Chí Minh"
,BÁN NHÀ PHÂN LÔ-3 MẶT NGÕ-OTO TRÁNH-DỪNG ĐỖ VÀO NHÀ-VĂN PHÒNG ĐỈNH CAO-TÔ HIỆU-HÀ ĐÔNG,60 m²,"Quận Hà Đông, Hà Nội"
,"BÁN ĐẤT 100m2. Đường 6m. SHR. TX33, P.THẠNH XUÂN, Q12. 1TY750",100 m²,"Quận 12, Hồ Chí Minh"
,Bán biệt thự nghỉ dưỡng 6000m2 yên tĩnh hợp phong thủy quận 9.,6341 m²,"Quận 9, Hồ Chí Minh"
,"CẦN TIỀN, BÁN GẤP, NHÀ ( mới) KHƯƠNG ĐÌNH, 40M2, GIÁ RẺ NHẤT THỊ TRƯỜNG 2.9 TỶ ( có thương lượng), LIÊN HỆ: 0383513639.",40 m²,"Quận Thanh Xuân, Hà Nội"
,"CHÍNH CHỦ CẦN BÁN NHÀ ĐỊA CHỈ :Tổ 21a ,khu 3 ,phường Hà Khánh ,tp Hạ Long ,tỉnh Quảng Ninh.",65 m²,"Thành Phố Hạ Long, Quảng Ninh"
,Cần Bán Đất mặt tiền đường 25C (Nguyễn Ái Quốc) Tại Đồng Nai,15426 m²,"Huyện Nhơn Trạch, Đồng Nai"
,"Quá Rẻ - Bán nhà Năm Châu 70m2, 2Tầng giá 3.6 Tỷ TL-V2",70 m²,"Quận Tân Bình, Hồ Chí Minh"
,Căn hộ mới xây HÓC MÔN 290tr 2PN - 0902936106,45 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán hoặc cho thuê căn hộ Đường Song Hành, phường Phú Hữu, Quận 9",72 m²,"Quận 9, Hồ Chí Minh"
,"Bán nhà giá cực sốc 72m2, HXH, 2 Tầng, Hoàng Hoa Thám, P7, Chỉ 5.4 Tỷ,",72 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Nhà hẻm 385 Lê Văn Thọ, quận Gò Vấp dt 44m2 4x11 giá 3.6 tỷ",44 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"BÁN NHÀ MẶT PHỐ TRUNG HOÀ, CẦU GIẤY: 136M, 6T, MT: 5,6M. GIÁ: 49,5 TỶ. LH: 0944828386",136 m²,"Quận Cầu Giấy, Hà Nội"
,"BÁN NHÀ MẶT PHỐ TRUNG HOÀ, CẦU GIẤY: 136M, 6T, MT: 5,6M. GIÁ: 49,5 TỶ. LH: 0944828286",136 m²,"Quận Cầu Giấy, Hà Nội"
,"BÁN NHÀ CHÍNH CHỦ BÌNH THẠNH - 5 TẦNG – NGANG 4M,  DÀI 8M - CHỈ 3 TỶ 600 TRIỆU TL.",32 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"94m2 đất thổ cư đường 93 ấp bến đò 1, xã tân phú trung, huyện củ chi [của gia đình k phải MG]",94 m²,"Huyện Củ Chi, Hồ Chí Minh"
,"Siêu hiếm, THÚY LĨNH 43M2, Ô TÔ ĐỖ CỬA, vuông như bánh Chưng chỉ 1.2 tỷ có thương lượng.",43 m²,"Quận Hoàng Mai, Hà Nội"
,[Của gia đình k phải MG] 3400m2 hai mặt tiền Ql22 sát quán bò tơ hồng đào,3400 m²,"Huyện Củ Chi, Hồ Chí Minh"
,"Cần bán 42m nhà 2 tầng cũ, phố Mai Động, Q Hoàng Mai giá 2,3 tỷ",42 m²,"Quận Hoàng Mai, Hà Nội"
,"Hot!!! Bán nhà cấp 4 gần Bến xe Yên Nghĩa,Hà Đông,ô tô vào nhà,kinh doanh,45m2, 2.35 tỷ",45 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà Tôn Đức Thắng 4 Tỷ 25, Ở luôn, 45M2, 5 Tầng",45 m²,"Quận Đống Đa, Hà Nội"
,"Cần bán đất chính chủ Đức Hòa, Long An, giá 850tr, 125m2, 5x25m",125 m²,"Huyện Đức Hòa, Long An"
,"BÁN NHÀ MẶT TIỀN DƯƠNG CÔNG KHI - Hốc Môn . 8,5 Tỷ",200 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán nhà đẹp HXH Phạm Văn Chiêu P 14 . Gò Vấp . 5,4 Tỷ",60 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán nhà Mặt tiền QL22, Hưng Lân, Bà Điểm, Hóc Môn - 12 Tỷ",134 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán đất đường Tam Đa , Trường Thạnh , Quận 9 . 6250m2 , 59,5 Tỷ",6250 m²,"Quận 9, Hồ Chí Minh"
,"Bán nhà 2 mặt hẻm thông xe hơi cấp 4 Đường Đồng Tâm , Trung Chánh , Hốc Môn . 4 Tỷ",86 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán nhà hẻm Đỗ Thúc Tịnh , Phường 12 , Gò Vấp . 3,7 Tỷ",47 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán nhà hẻm 5m Gấp Lê Hoàng Phái , P17, Gò Vấp , 5mx17,2m . 5,6 Tỷ  ",86 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán nhà 2 Mặt tiền Nguyễn Oanh, p.17, Gò Vấp . 8.5 Tỷ",76 m²,"Quận Gò Vấp, Hồ Chí Minh"
